Title,Author,Link,Bookshelf,Code
Beyond Good and Evil,Friedrich Wilhelm Nietzsche,http://www.gutenberg.org/ebooks/4363,Philosophy,4363
Democracy and Education: An Introduction to the Philosophy of Education,Dewey,http://www.gutenberg.org/ebooks/852,Philosophy,852
Ethics,Benedictus de Spinoza,http://www.gutenberg.org/ebooks/3800,Philosophy,3800
Laughter: An Essay on the Meaning of the Comic,Henri Bergson,http://www.gutenberg.org/ebooks/4352,Philosophy,4352
On Liberty,John Stuart Mill,http://www.gutenberg.org/ebooks/34901,Philosophy,34901
Second Treatise of Government,John Locke,http://www.gutenberg.org/ebooks/7370,Philosophy,7370
The Analysis of Mind,Bertrand Russell,http://www.gutenberg.org/ebooks/2529,Philosophy,2529
"After London; Or, Wild England",Richard Jefferies,http://www.gutenberg.org/ebooks/13944,Precursors,13944
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/84,Precursors,84
Lucian's True History,of Samosata Lucian,http://www.gutenberg.org/ebooks/45858,Precursors,45858
The Coming Race,Baron Edward Bulwer Lytton Lytton,http://www.gutenberg.org/ebooks/1951,Precursors,1951
Applied Psychology for Nurses,Mary F. Porter,http://www.gutenberg.org/ebooks/18843,Psychology,18843
"Criminal Psychology: A Manual for Judges, Practitioners, and Students",Hans Gross,http://www.gutenberg.org/ebooks/1320,Psychology,1320
Dream Psychology: Psychoanalysis for Beginners,Sigmund Freud,http://www.gutenberg.org/ebooks/15489,Psychology,15489
Instincts of the Herd in Peace and War,W. Trotter,http://www.gutenberg.org/ebooks/53453,Psychology,53453
Memoirs of Extraordinary Popular Delusions — Volume 1,Charles Mackay,http://www.gutenberg.org/ebooks/636,Psychology,636
Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,Mackay,http://www.gutenberg.org/ebooks/24518,Psychology,24518
Nerves and Common Sense,Annie Payson Call,http://www.gutenberg.org/ebooks/4339,Psychology,4339
Psychology and Achievement,Warren Hilton,http://www.gutenberg.org/ebooks/13791,Psychology,13791
"Studies in the Psychology of Sex, Volume 1",Havelock Ellis,http://www.gutenberg.org/ebooks/13610,Psychology,13610
"Ten Thousand Dreams Interpreted; Or, What's in a Dream",Gustavus Hindman Miller,http://www.gutenberg.org/ebooks/926,Psychology,926
John Jones's Dollar,Harry Stephen Keeler,http://www.gutenberg.org/ebooks/26867,Science,26867
"Looking Backward, 2000 to 1887",Edward Bellamy,http://www.gutenberg.org/ebooks/624,Science,624
Second Variety,Philip K. Dick,http://www.gutenberg.org/ebooks/32032,Science,32032
"The Country of the Blind, and Other Stories",H. G. Wells,http://www.gutenberg.org/ebooks/11870,Science,11870
The Marching Morons,C. M. Kornbluth,http://www.gutenberg.org/ebooks/51233,Science,51233
Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,Verne,http://www.gutenberg.org/ebooks/2488,Science,2488
Youth,Isaac Asimov,http://www.gutenberg.org/ebooks/31547,Science,31547
How to be Happy Though Married: Being a Handbook to Marriage,E. J. Hardy,http://www.gutenberg.org/ebooks/35534,Sociology,35534
Modern marriage and how to bear it,Maud Churton Braby,http://www.gutenberg.org/ebooks/31529,Sociology,31529
Plain Talks on Avoided Subjects,Henry N. Guernsey,http://www.gutenberg.org/ebooks/31671,Sociology,31671
Searchlights on Health: Light on Dark Corners,B. G. Jefferis and J. L. Nichols,http://www.gutenberg.org/ebooks/23609,Sociology,23609
Sex: Avoided subjects Discussed in Plain English,Henry Stanton,http://www.gutenberg.org/ebooks/23680,Sociology,23680
"The Biology, Physiology and Sociology of Reproduction",Winfield Scott Hall,http://www.gutenberg.org/ebooks/24708,Sociology,24708
"The Eugenic Marriage, Volume 1 (of 4)",W. Grant Hague,http://www.gutenberg.org/ebooks/19594,Sociology,19594
