,num_topics,coherence_score,perplexity_values,alpha,beta
0,2,0.3261254061364327,-6.401565092071517,0.01,0.01
1,3,0.41986292638697503,-6.129120593517874,0.01,0.01
2,4,0.4165450446379923,-5.907244231205071,0.01,0.01
3,5,0.5435572102468758,-5.657276386944369,0.01,0.01
4,6,0.516037365949147,-5.510954498036066,0.01,0.01
5,7,0.5123655930983843,-5.458647301938402,0.01,0.01
6,2,0.3261254061364327,-6.663182035241686,0.01,0.31
7,3,0.35018841605293183,-6.48773088637582,0.01,0.31
8,4,0.34331269338946674,-6.371607857140804,0.01,0.31
9,5,0.5182431105313009,-6.2410819818437036,0.01,0.31
10,6,0.5021105326282237,-6.120066823958172,0.01,0.31
11,7,0.5123655930983844,-6.104743028168889,0.01,0.31
12,2,0.3536084476549796,-6.852013375723572,0.01,0.61
13,3,0.35018841605293183,-6.729412397596698,0.01,0.61
14,4,0.34331269338946674,-6.645120665854159,0.01,0.61
15,5,0.5182431105313009,-6.547250869579791,0.01,0.61
16,6,0.469415151943873,-6.505154159374732,0.01,0.61
17,7,0.530771080503461,-6.477417807848463,0.01,0.61
18,2,0.3536084476549796,-7.00171111799818,0.01,0.9099999999999999
19,3,0.34448896557256486,-6.992034461914261,0.01,0.9099999999999999
20,4,0.34876280047752867,-6.847548384895059,0.01,0.9099999999999999
21,5,0.3678511744412175,-6.808934311106774,0.01,0.9099999999999999
22,6,0.500156517265502,-6.76457277260545,0.01,0.9099999999999999
23,7,0.5038517166127405,-6.719483210627837,0.01,0.9099999999999999
24,2,0.3536084476549796,-6.787767979227332,0.01,symmetric
25,3,0.35018841605293183,-6.5097742815587205,0.01,symmetric
26,4,0.3879738755865584,-6.282323097013412,0.01,symmetric
27,5,0.5435572102468758,-6.0269811060684,0.01,symmetric
28,6,0.5027228118182455,-5.88670696221491,0.01,symmetric
29,7,0.5123655930983844,-5.811592564854738,0.01,symmetric
30,2,0.3261254061364327,-6.401957216800773,0.31,0.01
31,3,0.41986292638697503,-6.130202103406114,0.31,0.01
32,4,0.4165450446379923,-5.908734958727722,0.31,0.01
33,5,0.5435572102468758,-5.659382628421205,0.31,0.01
34,6,0.516037365949147,-5.513731990510037,0.31,0.01
35,7,0.5123655930983843,-5.461694243640218,0.31,0.01
36,2,0.3261254061364327,-6.663477966587676,0.31,0.31
37,3,0.35018841605293183,-6.488714440304606,0.31,0.31
38,4,0.34331269338946674,-6.37307390525713,0.31,0.31
39,5,0.5182431105313009,-6.243032338415297,0.31,0.31
40,6,0.5021105326282237,-6.122504308022879,0.31,0.31
41,7,0.5123655930983844,-6.106887460633718,0.31,0.31
42,2,0.3536084476549796,-6.852384487374296,0.31,0.61
43,3,0.35018841605293183,-6.730361989938329,0.31,0.61
44,4,0.34331269338946674,-6.646493314199339,0.31,0.61
45,5,0.5182431105313009,-6.549045258995904,0.31,0.61
46,6,0.469415151943873,-6.507551634099089,0.31,0.61
47,7,0.530771080503461,-6.480368547375923,0.31,0.61
48,2,0.3536084476549796,-7.002070623762624,0.31,0.9099999999999999
49,3,0.34448896557256486,-6.992971515772625,0.31,0.9099999999999999
